date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:17:08	7458/7458	---M--	200	added ('OK')	image/svg+xml	etag:%221d71794c0ebc7a2%22	https://tecate.com/img/logo_tecate.svg	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/img/logo_tecate.svg	(from https://tecate.com/)
13:17:08	26060/26060	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:07%20GMT	https://tecate.com/cerveza-tecate	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/cerveza-tecate.html	(from https://tecate.com/)
13:17:10	20541/20541	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:09%20GMT	https://tecate.com/cat/asi-somos	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/cat/asi-somos.html	(from https://tecate.com/)
13:17:11	18526/18526	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:10%20GMT	https://tecate.com/cat/somos-futbol	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/cat/somos-futbol.html	(from https://tecate.com/)
13:17:12	18016/18016	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:11%20GMT	https://tecate.com/cat/somos-beisbol	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/cat/somos-beisbol.html	(from https://tecate.com/)
13:17:13	18487/18487	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:12%20GMT	https://tecate.com/cat/somos-bax	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/cat/somos-bax.html	(from https://tecate.com/)
13:17:14	24114/24114	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:13%20GMT	https://tecate.com/cat/somos-musica	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/cat/somos-musica.html	(from https://tecate.com/)
13:17:14	955/955	---M--	200	added ('OK')	image/svg+xml	etag:%221d71794d5c86dbb%22	https://tecate.com/img/twitter.svg	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/img/twitter.svg	(from https://tecate.com/)
13:17:15	526/526	---M--	200	added ('OK')	image/svg+xml	etag:%221d71794b5001a8e%22	https://tecate.com/img/facebook.svg	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/img/facebook.svg	(from https://tecate.com/)
13:17:16	1221/1221	---M--	200	added ('OK')	image/svg+xml	etag:%221d71794ba5d67c5%22	https://tecate.com/img/instagram.svg	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/img/instagram.svg	(from https://tecate.com/)
13:17:16	606/606	---M--	200	added ('OK')	image/svg+xml	etag:%221d71794d6f9995e%22	https://tecate.com/img/youtube.svg	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/img/youtube.svg	(from https://tecate.com/)
13:17:17	46569/46569	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:16%20GMT	https://tecate.com/aviso-de-privacidad	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/aviso-de-privacidad.html	(from https://tecate.com/)
13:17:18	27117/27117	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:18%20GMT	https://tecate.com/politicas	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/politicas.html	(from https://tecate.com/)
13:17:19	15556/15556	---M--	200	added ('OK')	image/svg+xml	etag:%221d71794afa2f2c4%22	https://tecate.com/img/01800.svg	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/img/01800.svg	(from https://tecate.com/)
13:17:21	29863/29863	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:20%20GMT	https://tecate.com/somos-millones-en-lacanchamasgrande	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/somos-millones-en-lacanchamasgrande.html	(from https://tecate.com/)
